equipment;device;operation;reqsize;cache;repetition;dataamount;bandwidth;tempo
PC;SSD1;randread;32;1;10;7396235673.6;123267072.0;60.001
PC;SSD1;randread;32;1;1;11793334272.0;196546560.0;60.001
PC;SSD1;randread;32;1;2;11789139968.0;196483072.0;60.001
PC;SSD1;randread;32;1;3;11778654208.0;196301824.0;60.001
PC;SSD1;randread;32;1;4;11761876992.0;196022272.0;60.001
PC;SSD1;randread;32;1;5;11716788224.0;195273728.0;60.001
PC;SSD1;randread;32;1;6;11768168448.0;196126720.0;60.001
PC;SSD1;randread;32;1;7;11774459904.0;196233216.0;60.001
PC;SSD1;randread;32;1;8;11787042816.0;196447232.0;60.001
PC;SSD1;randread;32;1;9;11801722880.0;196689920.0;60.001
PC;SSD1;randread;32;0;10;12624855040.0;210404352.0;60.001
PC;SSD1;randread;32;0;1;12605980672.0;210098176.0;60.001
PC;SSD1;randread;32;0;2;12543066112.0;209048576.0;60.001
PC;SSD1;randread;32;0;3;12552503296.0;209202176.0;60.001
PC;SSD1;randread;32;0;4;12623806464.0;210396160.0;60.001
PC;SSD1;randread;32;0;5;12596543488.0;209937408.0;60.001
PC;SSD1;randread;32;0;6;12597592064.0;209963008.0;60.001
PC;SSD1;randread;32;0;7;12601786368.0;210018304.0;60.001
PC;SSD1;randread;32;0;8;12578717696.0;209637376.0;60.001
PC;SSD1;randread;32;0;9;12577669120.0;209627136.0;60.001
PC;SSD1;randread;4096;1;10;21474836480.0;389912576.0;55.076
PC;SSD1;randread;4096;1;1;21474836480.0;385710080.0;55.676
PC;SSD1;randread;4096;1;2;21474836480.0;384494592.0;55.852
PC;SSD1;randread;4096;1;3;21474836480.0;389099520.0;55.191
PC;SSD1;randread;4096;1;4;21474836480.0;386765824.0;55.524
PC;SSD1;randread;4096;1;5;21474836480.0;388192256.0;55.32
PC;SSD1;randread;4096;1;6;21474836480.0;387519488.0;55.416
PC;SSD1;randread;4096;1;7;21474836480.0;386598912.0;55.548
PC;SSD1;randread;4096;1;8;21474836480.0;387743744.0;55.384
PC;SSD1;randread;4096;1;9;20573061120.0;342832128.0;60.009
PC;SSD1;randread;4096;0;10;21474836480.0;540069888.0;39.763
PC;SSD1;randread;4096;0;1;21474836480.0;540505088.0;39.731
PC;SSD1;randread;4096;0;2;21474836480.0;540464128.0;39.734
PC;SSD1;randread;4096;0;3;21474836480.0;540464128.0;39.734
PC;SSD1;randread;4096;0;4;21474836480.0;539934720.0;39.773
PC;SSD1;randread;4096;0;5;21474836480.0;540179456.0;39.755
PC;SSD1;randread;4096;0;6;21474836480.0;540437504.0;39.736
PC;SSD1;randread;4096;0;7;21474836480.0;540491776.0;39.732
PC;SSD1;randread;4096;0;8;21474836480.0;540165120.0;39.756
PC;SSD1;randread;4096;0;9;21474836480.0;538067968.0;39.911
PC;SSD1;randwrite;32;1;10;6866599936.0;114437120.0;60.002
PC;SSD1;randwrite;32;1;1;20609761280.0;343469056.0;60.005
PC;SSD1;randwrite;32;1;2;20496515072.0;341561344.0;60.009
PC;SSD1;randwrite;32;1;3;19680722944.0;322738176.0;60.981
PC;SSD1;randwrite;32;1;4;19407044608.0;320579584.0;60.536
PC;SSD1;randwrite;32;1;5;20630732800.0;343789568.0;60.01
PC;SSD1;randwrite;32;1;6;20421017600.0;340318208.0;60.006
PC;SSD1;randwrite;32;1;7;20698890240.0;344896512.0;60.015
PC;SSD1;randwrite;32;1;8;20604518400.0;343404544.0;60.001
PC;SSD1;randwrite;32;1;9;20681064448.0;344680448.0;60.001
PC;SSD1;randwrite;32;0;10;18303942656.0;305063936.0;60.001
PC;SSD1;randwrite;32;0;1;18242076672.0;304033792.0;60.001
PC;SSD1;randwrite;32;0;2;18168676352.0;302804992.0;60.001
PC;SSD1;randwrite;32;0;3;17962106880.0;299363328.0;60.001
PC;SSD1;randwrite;32;0;4;18274582528.0;304575488.0;60.001
PC;SSD1;randwrite;32;0;5;18230542336.0;303840256.0;60.001
PC;SSD1;randwrite;32;0;6;18301845504.0;305024000.0;60.001
PC;SSD1;randwrite;32;0;7;18358468608.0;305975296.0;60.001
PC;SSD1;randwrite;32;0;8;18016632832.0;300271616.0;60.001
PC;SSD1;randwrite;32;0;9;18261999616.0;304354304.0;60.001
PC;SSD1;randwrite;4096;1;10;19478347776.0;315167744.0;61.803
PC;SSD1;randwrite;4096;1;1;19318964224.0;314491904.0;61.429
PC;SSD1;randwrite;4096;1;2;19453181952.0;314847232.0;61.786
PC;SSD1;randwrite;4096;1;3;19662897152.0;321993728.0;61.066
PC;SSD1;randwrite;4096;1;4;19482542080.0;313631744.0;62.119
PC;SSD1;randwrite;4096;1;5;19683868672.0;322247680.0;61.083
PC;SSD1;randwrite;4096;1;6;19117637632.0;308149248.0;62.04
PC;SSD1;randwrite;4096;1;7;19558039552.0;319256576.0;61.261
PC;SSD1;randwrite;4096;1;8;19688062976.0;322791424.0;60.993
PC;SSD1;randwrite;4096;1;9;19969081344.0;317867008.0;62.822
PC;SSD1;randwrite;4096;0;10;18278776832.0;304543744.0;60.02
PC;SSD1;randwrite;4096;0;1;18308136960.0;305058816.0;60.015
PC;SSD1;randwrite;4096;0;2;18266193920.0;304350208.0;60.017
PC;SSD1;randwrite;4096;0;3;18266193920.0;304410624.0;60.005
PC;SSD1;randwrite;4096;0;4;18266193920.0;304345088.0;60.018
PC;SSD1;randwrite;4096;0;5;18282971136.0;304695296.0;60.004
PC;SSD1;randwrite;4096;0;6;18186502144.0;303027200.0;60.016
PC;SSD1;randwrite;4096;0;7;18161336320.0;302653440.0;60.007
PC;SSD1;randwrite;4096;0;8;18350080000.0;305818624.0;60.003
PC;SSD1;randwrite;4096;0;9;18253611008.0;304171008.0;60.011
PC;SSD1;read;32;1;10;21474836480.0;585224192.0;36.695
PC;SSD1;read;32;1;1;21474836480.0;532173824.0;40.353
PC;SSD1;read;32;1;2;21474836480.0;534665216.0;40.165
PC;SSD1;read;32;1;3;21474836480.0;530451456.0;40.484
PC;SSD1;read;32;1;4;21474836480.0;530570240.0;40.475
PC;SSD1;read;32;1;5;21474836480.0;532252672.0;40.347
PC;SSD1;read;32;1;6;21474836480.0;530464768.0;40.483
PC;SSD1;read;32;1;7;21474836480.0;532265984.0;40.346
PC;SSD1;read;32;1;8;21474836480.0;532319232.0;40.342
PC;SSD1;read;32;1;9;21474836480.0;530439168.0;40.485
PC;SSD1;read;32;0;10;21474836480.0;430029824.0;49.938
PC;SSD1;read;32;0;1;21474836480.0;430675968.0;49.863
PC;SSD1;read;32;0;2;21474836480.0;428484608.0;50.118
PC;SSD1;read;32;0;3;21474836480.0;431880192.0;49.724
PC;SSD1;read;32;0;4;21474836480.0;430340096.0;49.902
PC;SSD1;read;32;0;5;21474836480.0;430201856.0;49.918
PC;SSD1;read;32;0;6;21474836480.0;436506624.0;49.197
PC;SSD1;read;32;0;7;21474836480.0;430227456.0;49.915
PC;SSD1;read;32;0;8;21474836480.0;426993664.0;50.293
PC;SSD1;read;32;0;9;21474836480.0;432385024.0;49.666
PC;SSD1;read;4096;1;10;21474836480.0;532887552.0;40.299
PC;SSD1;read;4096;1;1;21474836480.0;529993728.0;40.519
PC;SSD1;read;4096;1;2;21474836480.0;529614848.0;40.548
PC;SSD1;read;4096;1;3;21474836480.0;530491392.0;40.481
PC;SSD1;read;4096;1;4;21474836480.0;530530304.0;40.478
PC;SSD1;read;4096;1;5;21474836480.0;529902592.0;40.526
PC;SSD1;read;4096;1;6;21474836480.0;530032640.0;40.516
PC;SSD1;read;4096;1;7;21474836480.0;532516864.0;40.327
PC;SSD1;read;4096;1;8;21474836480.0;532411392.0;40.335
PC;SSD1;read;4096;1;9;21474836480.0;537865216.0;39.926
PC;SSD1;read;4096;0;10;21474836480.0;545946624.0;39.335
PC;SSD1;read;4096;0;1;21474836480.0;547826688.0;39.2
PC;SSD1;read;4096;0;2;21474836480.0;547715072.0;39.208
PC;SSD1;read;4096;0;3;21474836480.0;547952640.0;39.191
PC;SSD1;read;4096;0;4;21474836480.0;542855168.0;39.559
PC;SSD1;read;4096;0;5;21474836480.0;544576512.0;39.434
PC;SSD1;read;4096;0;6;21474836480.0;547659776.0;39.212
PC;SSD1;read;4096;0;7;21474836480.0;547813376.0;39.201
PC;SSD1;read;4096;0;8;21474836480.0;547757056.0;39.205
PC;SSD1;read;4096;0;9;21474836480.0;547855360.0;39.198
PC;SSD1;write;32;1;10;7901334732.8;123747328.0;63.85
PC;SSD1;write;32;1;1;19645071360.0;320522240.0;61.292
PC;SSD1;write;32;1;2;19655557120.0;319239168.0;61.57
PC;SSD1;write;32;1;3;19400753152.0;313630720.0;61.859
PC;SSD1;write;32;1;4;19518193664.0;310755328.0;62.808
PC;SSD1;write;32;1;5;19593691136.0;314825728.0;62.237
PC;SSD1;write;32;1;6;19743637504.0;321402880.0;61.43
PC;SSD1;write;32;1;7;19882049536.0;319910912.0;62.149
PC;SSD1;write;32;1;8;19734200320.0;319195136.0;61.824
PC;SSD1;write;32;1;9;19529728000.0;314927104.0;62.014
PC;SSD1;write;32;0;10;18015584256.0;300256256.0;60.001
PC;SSD1;write;32;0;1;17978884096.0;299643904.0;60.001
PC;SSD1;write;32;0;2;18278776832.0;304643072.0;60.001
PC;SSD1;write;32;0;3;18300796928.0;305002496.0;60.001
PC;SSD1;write;32;0;4;18319671296.0;305316864.0;60.001
PC;SSD1;write;32;0;5;18255708160.0;304258048.0;60.001
PC;SSD1;write;32;0;6;18064867328.0;301069312.0;60.001
PC;SSD1;write;32;0;7;18081644544.0;301348864.0;60.001
PC;SSD1;write;32;0;8;18278776832.0;304633856.0;60.001
PC;SSD1;write;32;0;9;18311282688.0;305174528.0;60.001
PC;SSD1;write;4096;1;10;19469959168.0;312684544.0;62.267
PC;SSD1;write;4096;1;1;19616759808.0;315610112.0;62.155
PC;SSD1;write;4096;1;2;19591593984.0;314617856.0;62.271
PC;SSD1;write;4096;1;3;19486736384.0;315789312.0;61.708
PC;SSD1;write;4096;1;4;19394461696.0;313562112.0;61.852
