equipment;device;operation;reqsize;cache;repetition;dataamount;bandwidth;tempo
CUBIE;HDD1;randread;32;1;10;203161600.0;3384320.0;60.014
CUBIE;HDD1;randread;32;1;1;196771840.0;3278848.0;60.004
CUBIE;HDD1;randread;32;1;2;183762944.0;3061760.0;60.004
CUBIE;HDD1;randread;32;1;3;197656576.0;3293184.0;60.003
CUBIE;HDD1;randread;32;1;4;196902912.0;3280896.0;60.002
CUBIE;HDD1;randread;32;1;5;202899456.0;3381248.0;60.004
CUBIE;HDD1;randread;32;1;6;197427200.0;3290112.0;60.002
CUBIE;HDD1;randread;32;1;7;191856640.0;3196928.0;60.008
CUBIE;HDD1;randread;32;1;8;199983104.0;3332096.0;60.005
CUBIE;HDD1;randread;32;1;9;190545920.0;3174400.0;60.009
CUBIE;HDD1;randread;32;0;10;154402816.0;2572288.0;60.009
CUBIE;HDD1;randread;32;0;1;147980288.0;2465792.0;60.008
CUBIE;HDD1;randread;32;0;2;150568960.0;2508800.0;60.01
CUBIE;HDD1;randread;32;0;3;154009600.0;2566144.0;60.011
CUBIE;HDD1;randread;32;0;4;156467200.0;2606080.0;60.019
CUBIE;HDD1;randread;32;0;5;148209664.0;2468864.0;60.007
CUBIE;HDD1;randread;32;0;6;159481856.0;2657280.0;60.009
CUBIE;HDD1;randread;32;0;7;152764416.0;2544640.0;60.011
CUBIE;HDD1;randread;32;0;8;152338432.0;2538496.0;60.008
CUBIE;HDD1;randread;32;0;9;156631040.0;2610176.0;60.006
CUBIE;HDD1;randread;4096;1;10;1535115264.0;25559040.0;60.06
CUBIE;HDD1;randread;4096;1;1;1522532352.0;25318400.0;60.133
CUBIE;HDD1;randread;4096;1;2;1535115264.0;25541632.0;60.101
CUBIE;HDD1;randread;4096;1;3;1514143744.0;25221120.0;60.033
CUBIE;HDD1;randread;4096;1;4;1551892480.0;25830400.0;60.079
CUBIE;HDD1;randread;4096;1;5;1547698176.0;25754624.0;60.092
CUBIE;HDD1;randread;4096;1;6;1514143744.0;25184256.0;60.121
CUBIE;HDD1;randread;4096;1;7;1556086784.0;25899008.0;60.082
CUBIE;HDD1;randread;4096;1;8;1560281088.0;25940992.0;60.146
CUBIE;HDD1;randread;4096;1;9;1497366528.0;24931328.0;60.059
CUBIE;HDD1;randread;4096;0;10;1665138688.0;27674624.0;60.168
CUBIE;HDD1;randread;4096;0;1;1581252608.0;26224640.0;60.295
CUBIE;HDD1;randread;4096;0;2;1635778560.0;27210752.0;60.114
CUBIE;HDD1;randread;4096;0;3;1610612736.0;26818560.0;60.054
CUBIE;HDD1;randread;4096;0;4;1635778560.0;27247616.0;60.032
CUBIE;HDD1;randread;4096;0;5;1572864000.0;26106880.0;60.247
CUBIE;HDD1;randread;4096;0;6;1686110208.0;28082176.0;60.042
CUBIE;HDD1;randread;4096;0;7;1639972864.0;27318272.0;60.03
CUBIE;HDD1;randread;4096;0;8;1660944384.0;27669504.0;60.026
CUBIE;HDD1;randread;4096;0;9;1564475392.0;26021888.0;60.121
CUBIE;HDD1;randwrite;32;1;10;1381603737.6;23024640.0;60.001
CUBIE;HDD1;randwrite;32;1;1;1389782630.4;23114752.0;60.119
CUBIE;HDD1;randwrite;32;1;2;1383805747.2;22990848.0;60.185
CUBIE;HDD1;randwrite;32;1;3;1389992345.6;23121920.0;60.112
CUBIE;HDD1;randwrite;32;1;4;1373739417.6;22862848.0;60.084
CUBIE;HDD1;randwrite;32;1;5;1384539750.4;23004160.0;60.181
CUBIE;HDD1;randwrite;32;1;6;1380030873.6;23014400.0;60.001
CUBIE;HDD1;randwrite;32;1;7;1389887488.0;23091200.0;60.186
CUBIE;HDD1;randwrite;32;1;8;1391565209.6;23198720.0;60.023
CUBIE;HDD1;randwrite;32;1;9;1382652313.6;22969344.0;60.192
CUBIE;HDD1;randwrite;32;0;10;189464576.0;3155968.0;60.017
CUBIE;HDD1;randwrite;32;0;1;193789952.0;3228672.0;60.017
CUBIE;HDD1;randwrite;32;0;2;194707456.0;3244032.0;60.005
CUBIE;HDD1;randwrite;32;0;3;205127680.0;3417088.0;60.023
CUBIE;HDD1;randwrite;32;0;4;191889408.0;3196928.0;60.009
CUBIE;HDD1;randwrite;32;0;5;190414848.0;3172352.0;60.017
CUBIE;HDD1;randwrite;32;0;6;204046336.0;3399680.0;60.007
CUBIE;HDD1;randwrite;32;0;7;205193216.0;3418112.0;60.023
CUBIE;HDD1;randwrite;32;0;8;205946880.0;3430400.0;60.018
CUBIE;HDD1;randwrite;32;0;9;189956096.0;3164160.0;60.022
CUBIE;HDD1;randwrite;4096;1;10;1631584256.0;27191296.0;60.002
CUBIE;HDD1;randwrite;4096;1;1;1602224128.0;26687488.0;60.035
CUBIE;HDD1;randwrite;4096;1;2;1623195648.0;26874880.0;60.398
CUBIE;HDD1;randwrite;4096;1;3;1619001344.0;26911744.0;60.158
CUBIE;HDD1;randwrite;4096;1;4;1606418432.0;26770432.0;60.005
CUBIE;HDD1;randwrite;4096;1;5;1623195648.0;26957824.0;60.212
