equipment;device;operation;reqsize;cache;repetition;dataamount;bandwidth;tempo
PC;SSD2;randwrite;4096;0;7;14755561472.0;245827584.0;60.024
PC;SSD2;randwrite;4096;0;8;14105444352.0;235074560.0;60.004
PC;SSD2;randwrite;4096;0;9;15204352000.0;253371392.0;60.008
PC;SSD2;read;32;1;10;21474836480.0;434378752.0;49.438
PC;SSD2;read;32;1;1;21474836480.0;426866688.0;50.308
PC;SSD2;read;32;1;2;21474836480.0;446674944.0;48.077
PC;SSD2;read;32;1;3;21474836480.0;448035840.0;47.931
PC;SSD2;read;32;1;4;21474836480.0;445203456.0;48.236
PC;SSD2;read;32;1;5;21474836480.0;426926080.0;50.301
PC;SSD2;read;32;1;6;21474836480.0;434273280.0;49.45
PC;SSD2;read;32;1;7;21474836480.0;433204224.0;49.572
PC;SSD2;read;32;1;8;21474836480.0;430305280.0;49.906
PC;SSD2;read;32;1;9;21474836480.0;444392448.0;48.324
PC;SSD2;read;32;0;10;16148070400.0;269133824.0;60.001
PC;SSD2;read;32;0;1;15622733824.0;260366336.0;60.001
PC;SSD2;read;32;0;2;16530800640.0;275516416.0;60.001
PC;SSD2;read;32;0;3;15994978304.0;266580992.0;60.001
PC;SSD2;read;32;0;4;16769875968.0;279488512.0;60.001
PC;SSD2;read;32;0;5;16673406976.0;277878784.0;60.001
PC;SSD2;read;32;0;6;16709058560.0;278480896.0;60.001
PC;SSD2;read;32;0;7;16460546048.0;274333696.0;60.001
PC;SSD2;read;32;0;8;16841179136.0;280687616.0;60.001
PC;SSD2;read;32;0;9;16857956352.0;280961024.0;60.001
PC;SSD2;read;4096;1;10;21474836480.0;441060352.0;48.689
PC;SSD2;read;4096;1;1;21474836480.0;444034048.0;48.363
PC;SSD2;read;4096;1;2;21474836480.0;425969664.0;50.414
PC;SSD2;read;4096;1;3;21474836480.0;415277056.0;51.712
PC;SSD2;read;4096;1;4;21474836480.0;437859328.0;49.045
PC;SSD2;read;4096;1;5;21474836480.0;417895424.0;51.388
PC;SSD2;read;4096;1;6;21474836480.0;441387008.0;48.653
PC;SSD2;read;4096;1;7;21474836480.0;419930112.0;51.139
PC;SSD2;read;4096;1;8;21474836480.0;436036608.0;49.25
PC;SSD2;read;4096;1;9;21474836480.0;417261568.0;51.466
PC;SSD2;read;4096;0;10;21474836480.0;509159424.0;42.177
PC;SSD2;read;4096;0;1;21474836480.0;467565568.0;45.929
PC;SSD2;read;4096;0;2;21474836480.0;496584704.0;43.245
PC;SSD2;read;4096;0;3;21474836480.0;510903296.0;42.033
PC;SSD2;read;4096;0;4;21474836480.0;472399872.0;45.459
PC;SSD2;read;4096;0;5;21474836480.0;460348416.0;46.649
PC;SSD2;read;4096;0;6;21474836480.0;505325568.0;42.497
PC;SSD2;read;4096;0;7;21474836480.0;435868672.0;49.269
PC;SSD2;read;4096;0;8;21474836480.0;443236352.0;48.45
PC;SSD2;read;4096;0;9;21474836480.0;496802816.0;43.226
PC;SSD2;write;32;1;10;17405313024.0;274671616.0;63.366
PC;SSD2;write;32;1;1;17726177280.0;272420864.0;65.068
PC;SSD2;write;32;1;2;19692257280.0;319873024.0;61.561
PC;SSD2;write;32;1;3;19369295872.0;314280960.0;61.629
PC;SSD2;write;32;1;4;18662555648.0;296477696.0;62.947
PC;SSD2;write;32;1;5;15352201216.0;254672896.0;60.281
PC;SSD2;write;32;1;6;17173577728.0;284867584.0;60.286
PC;SSD2;write;32;1;7;18438160384.0;307246080.0;60.01
PC;SSD2;write;32;1;8;16925065216.0;263648256.0;64.195
PC;SSD2;write;32;1;9;18484297728.0;297484288.0;62.136
PC;SSD2;write;32;0;10;14775484416.0;246245376.0;60.001
PC;SSD2;write;32;0;1;13379829760.0;222985216.0;60.001
PC;SSD2;write;32;0;2;16234053632.0;270559232.0;60.001
