timestamp;power
2017-08-25 16:25:58;113
2017-08-25 16:25:59;114
2017-08-25 16:25:60;126
2017-08-25 16:26:01;125
2017-08-25 16:26:02;132
2017-08-25 16:26:03;129
2017-08-25 16:26:04;131
2017-08-25 16:26:05;131
2017-08-25 16:26:06;129
2017-08-25 16:26:07;122
2017-08-25 16:26:08;122
2017-08-25 16:26:09;132
2017-08-25 16:26:10;132
2017-08-25 16:26:11;132
2017-08-25 16:26:12;124
2017-08-25 16:26:13;132
2017-08-25 16:26:14;132
2017-08-25 16:26:15;129
2017-08-25 16:26:16;130
2017-08-25 16:26:17;126
2017-08-25 16:26:18;131
2017-08-25 16:26:19;131
2017-08-25 16:26:20;130
2017-08-25 16:26:21;132
2017-08-25 16:26:22;127
2017-08-25 16:26:23;141
2017-08-25 16:26:24;148
2017-08-25 16:26:25;147
2017-08-25 16:26:26;124
2017-08-25 16:26:27;126
2017-08-25 16:26:28;131
2017-08-25 16:26:29;130
2017-08-25 16:26:30;128
2017-08-25 16:26:31;130
2017-08-25 16:26:32;127
2017-08-25 16:26:33;135
2017-08-25 16:26:34;138
2017-08-25 16:26:35;137
2017-08-25 16:26:36;138
2017-08-25 16:26:37;137
2017-08-25 16:26:38;138
2017-08-25 16:26:39;138
2017-08-25 16:26:40;138
2017-08-25 16:26:41;137
2017-08-25 16:26:42;138
2017-08-25 16:26:43;137
2017-08-25 16:26:44;138
2017-08-25 16:26:45;141
2017-08-25 16:26:46;146
2017-08-25 16:26:47;144
2017-08-25 16:26:48;137
2017-08-25 16:26:49;131
2017-08-25 16:26:50;133
2017-08-25 16:26:51;130
2017-08-25 16:26:52;128
2017-08-25 16:26:53;131
2017-08-25 16:26:54;130
2017-08-25 16:26:55;128
2017-08-25 16:26:56;130
2017-08-25 16:26:57;128
2017-08-25 16:26:58;131
2017-08-25 16:26:59;129
2017-08-25 16:27:00;131
2017-08-25 16:27:01;128
2017-08-25 16:27:02;130
2017-08-25 16:27:03;131
2017-08-25 16:27:04;131
2017-08-25 16:27:05;133
2017-08-25 16:27:06;128
2017-08-25 16:27:07;131
2017-08-25 16:27:08;139
2017-08-25 16:27:09;146
2017-08-25 16:27:10;151
2017-08-25 16:27:11;143
2017-08-25 16:27:12;137
2017-08-25 16:27:13;137
2017-08-25 16:27:14;134
2017-08-25 16:27:15;124
2017-08-25 16:27:16;114
2017-08-25 16:27:17;114
