operation;reqsize;cache;repetition;measurement;power_cpu;power_ram
randread;32;0;3;25;36.6;4.72
randread;32;0;3;26;40.0;4.56
randread;32;0;3;27;38.7;4.72
randread;32;0;3;28;38.3;4.7
randread;32;0;3;29;36.9;4.73
randread;32;0;3;30;36.7;4.75
randread;32;0;3;31;39.1;4.62
randread;32;0;3;32;36.6;4.74
randread;32;0;3;33;36.8;4.78
randread;32;0;3;34;39.3;4.62
randread;32;0;3;35;39.5;4.59
randread;32;0;3;36;38.6;4.7
randread;32;0;3;37;38.6;4.72
randread;32;0;3;38;40.8;4.58
randread;32;0;3;39;38.5;4.72
randread;32;0;3;40;38.9;4.57
randread;32;0;3;41;36.7;4.76
randread;32;0;3;42;38.2;4.69
randread;32;0;3;43;38.7;4.67
randread;32;0;3;44;38.3;4.72
randread;32;0;3;45;37.7;4.68
randread;32;0;3;46;38.1;4.67
randread;32;0;3;47;38.7;4.63
randread;32;0;3;48;38.2;4.74
randread;32;0;3;49;38.5;4.67
randread;32;0;3;50;36.8;4.77
randread;32;0;3;51;37.6;4.7
randread;32;0;3;52;38.0;4.7
randread;32;0;3;53;36.7;4.69
randread;32;0;3;54;36.8;4.74
randread;32;0;3;55;38.6;4.63
randread;32;0;3;56;38.5;4.67
randread;32;0;3;57;37.9;4.69
randread;32;0;3;58;40.1;4.56
randread;32;0;3;59;39.4;4.61
randread;32;0;4;0;37.4;4.79
randread;32;0;4;1;39.0;4.64
randread;32;0;4;2;37.0;4.71
randread;32;0;4;3;38.1;4.65
randread;32;0;4;4;37.6;4.62
randread;32;0;4;5;38.9;4.66
randread;32;0;4;6;38.8;4.65
randread;32;0;4;7;38.1;4.68
randread;32;0;4;8;40.9;4.54
randread;32;0;4;9;38.3;4.71
randread;32;0;4;10;38.7;4.68
randread;32;0;4;11;37.3;4.64
randread;32;0;4;12;37.3;4.7
randread;32;0;4;13;37.4;4.71
randread;32;0;4;14;38.6;4.68
randread;32;0;4;15;39.5;4.61
randread;32;0;4;16;38.3;4.75
randread;32;0;4;17;38.3;4.64
randread;32;0;4;18;39.6;4.62
randread;32;0;4;19;40.0;4.58
randread;32;0;4;20;39.2;4.62
randread;32;0;4;21;41.2;4.56
randread;32;0;4;22;38.9;4.71
randread;32;0;4;23;40.2;4.55
randread;32;0;4;24;36.7;4.75
randread;32;0;4;25;37.8;4.67
randread;32;0;4;26;38.6;4.71
randread;32;0;4;27;38.4;4.73
randread;32;0;4;28;38.7;4.68
randread;32;0;4;29;37.5;4.72
randread;32;0;4;30;38.3;4.75
randread;32;0;4;31;37.3;4.71
randread;32;0;4;32;38.2;4.71
randread;32;0;4;33;37.0;4.74
randread;32;0;4;34;37.0;4.72
randread;32;0;4;35;39.5;4.61
randread;32;0;4;36;38.5;4.68
randread;32;0;4;37;38.3;4.73
randread;32;0;4;38;37.4;4.72
randread;32;0;4;39;39.5;4.64
randread;32;0;4;40;39.3;4.62
randread;32;0;4;41;37.9;4.69
randread;32;0;4;42;38.6;4.72
randread;32;0;4;43;39.1;4.66
randread;32;0;4;44;40.2;4.54
