equipment;repetition;operation;size;bandwidth
PC;3;read;0.002048;20852.36
PC;3;read;8.39;18095.15
PC;3;read;1.05;20337.47
PC;3;read;4.19;20348.35
PC;3;read;268.44;13564.2
PC;3;read;134.22;11838.91
PC;3;read;2147.48;15628.18
PC;3;read;0.065536;18487.87
PC;3;write;0.131072;14810.25
PC;3;write;0.000512;15887.2
PC;3;write;536.87;9707.63
PC;3;write;0.004096;15953.82
PC;3;write;0.001024;15895.85
PC;3;write;33.55;10811.8
PC;3;write;0.016384;15897.07
PC;3;write;0.008192;15894.63
PC;3;write;0.262144;14416.1
PC;3;write;8589.93;10012.83
PC;3;write;0.524288;13923.4
PC;3;write;2.1;14008.48
PC;3;write;0.032768;15862.22
PC;3;write;1073.74;10039.94
PC;3;write;67.11;10228.45
PC;3;write;4294.97;10043.98
PC;3;write;16.78;11968.76
PC;3;write;0.002048;15957.12
PC;3;write;8.39;13674.6
PC;3;write;1.05;13978.49
PC;3;write;4.19;13866.82
PC;3;write;268.44;9606.88
PC;3;write;134.22;10123.53
PC;3;write;2147.48;9658.6
PC;3;write;0.065536;14955.34
PC;4;read;0.131072;20057.62
PC;4;read;0.000512;20315.13
PC;4;read;536.87;14961.29
PC;4;read;0.004096;21018.97
PC;4;read;0.001024;20745.07
PC;4;read;33.55;16155.24
PC;4;read;0.016384;20949.51
PC;4;read;0.008192;21073.44
PC;4;read;0.262144;20041.88
PC;4;read;8589.93;15025.96
PC;4;read;0.524288;20355.16
PC;4;read;2.1;20308.62
PC;4;read;0.032768;20968.6
PC;4;read;1073.74;15737.09
PC;4;read;67.11;12018.06
PC;4;read;4294.97;15732.08
PC;4;read;16.78;16187.97
PC;4;read;0.002048;20930.81
PC;4;read;8.39;18301.21
PC;4;read;1.05;20313.93
PC;4;read;4.19;20342.41
PC;4;read;268.44;11896.1
PC;4;read;134.22;15738.48
PC;4;read;2147.48;15016.53
PC;4;read;0.065536;18340.8
PC;4;write;0.131072;15002.07
PC;4;write;0.000512;15889.51
PC;4;write;536.87;9877.67
PC;4;write;0.004096;15951.46
PC;4;write;0.001024;15940.8
PC;4;write;33.55;10843.25
PC;4;write;0.016384;15898.66
PC;4;write;0.008192;15891.29
PC;4;write;0.262144;14423.39
PC;4;write;8589.93;10035.09
PC;4;write;0.524288;13944.39
PC;4;write;2.1;13826.55
PC;4;write;0.032768;15798.63
PC;4;write;1073.74;10036.56
PC;4;write;67.11;9880.57
PC;4;write;4294.97;9685.72
PC;4;write;16.78;12098.23
PC;4;write;0.002048;15518.74
PC;4;write;8.39;13804.62
PC;4;write;1.05;13933.16
PC;4;write;4.19;13946.76
PC;4;write;268.44;9772.31
PC;4;write;134.22;9893.68
PC;4;write;2147.48;10025.09
PC;4;write;0.065536;14991.2
CUBIE;0;read;0.131072;1257.46
CUBIE;0;read;0.000512;1320.19
CUBIE;0;read;536.87;963.57
CUBIE;0;read;0.004096;1330.83
CUBIE;0;read;0.001024;1327.69
CUBIE;0;read;33.55;972.25
CUBIE;0;read;0.016384;1298.29
CUBIE;0;read;0.008192;1332.2
CUBIE;0;read;0.262144;1079.84
CUBIE;0;read;0.524288;948.65
CUBIE;0;read;2.1;950.51
CUBIE;0;read;0.032768;1248.99
CUBIE;0;read;1073.74;972.69
CUBIE;0;read;67.11;967.25
CUBIE;0;read;16.78;958.1
CUBIE;0;read;0.002048;1329.51
CUBIE;0;read;8.39;956.18
CUBIE;0;read;1.05;958.3
CUBIE;0;read;4.19;933.21
CUBIE;0;read;268.44;970.15
CUBIE;0;read;134.22;974.77
CUBIE;0;read;0.065536;1259.15
CUBIE;0;write;0.131072;2237.05
CUBIE;0;write;0.000512;3620.65
CUBIE;0;write;536.87;284.13
CUBIE;0;write;0.004096;3903.4
CUBIE;0;write;0.001024;3786.93
CUBIE;0;write;33.55;285.99
CUBIE;0;write;0.016384;3929.68
CUBIE;0;write;0.008192;3927.77
CUBIE;0;write;0.262144;1285.22
CUBIE;0;write;0.524288;402.68
CUBIE;0;write;2.1;278.8
CUBIE;0;write;0.032768;2955.62
CUBIE;0;write;1073.74;285.96
CUBIE;0;write;67.11;284.22
CUBIE;0;write;16.78;286.56
CUBIE;0;write;0.002048;3855.71
CUBIE;0;write;8.39;281.88
CUBIE;0;write;1.05;282.56
CUBIE;0;write;4.19;278.43
CUBIE;0;write;268.44;284.08
CUBIE;0;write;134.22;285.9
CUBIE;0;write;0.065536;2529.69
CUBIE;1;read;0.131072;1246.12
CUBIE;1;read;0.000512;1311.16
CUBIE;1;read;536.87;963.72
CUBIE;1;read;0.004096;1331.48
CUBIE;1;read;0.001024;1327.42
CUBIE;1;read;33.55;971.38
CUBIE;1;read;0.016384;1333.34
CUBIE;1;read;0.008192;1329.55
CUBIE;1;read;0.262144;1076.47
CUBIE;1;read;0.524288;963.59
CUBIE;1;read;2.1;949.8
CUBIE;1;read;0.032768;1270.45
CUBIE;1;read;1073.74;963.51
CUBIE;1;read;67.11;968.02
CUBIE;1;read;16.78;959.58
CUBIE;1;read;0.002048;1321.62
