equipment;device;operation;reqsize;cache;repetition;measurement;freq0;freq1;freq2;freq3;freq4;freq5;freq6;freq7
pc;hdd1;read;4096;0;5;11;1000;1000;1000;1000;1000;1000;908;1000
pc;hdd1;read;4096;0;5;12;1000;1000;927;1000;1000;1000;1000;1000
pc;hdd1;read;4096;0;5;13;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;4096;0;5;14;3000;818;2000;1000;897;971;2000;964
pc;hdd1;read;4096;0;5;15;941;1000;2000;1000;1000;1000;1000;1000
pc;hdd1;read;4096;0;5;16;1000;900;1000;1000;833;3000;2000;1000
pc;hdd1;read;4096;0;5;17;977;1000;1000;900;900;2000;1000;900
pc;hdd1;read;4096;0;5;18;3000;2000;1000;1000;1000;1000;1000;1000
pc;hdd1;read;4096;0;5;19;1000;2000;2000;800;813;828;1000;807
pc;hdd1;read;4096;0;5;20;2000;1000;1000;3000;3000;828;3000;2000
pc;hdd1;read;4096;0;5;21;3000;2000;2000;3000;3000;2000;2000;2000
pc;hdd1;read;4096;0;5;22;2000;2000;1000;1000;1000;2000;1000;2000
pc;hdd1;read;4096;0;5;23;1000;2000;1000;874;897;1000;833;822
pc;hdd1;read;4096;0;5;24;1000;2000;824;2000;2000;1000;1000;1000
pc;hdd1;read;4096;0;5;25;1000;1000;1000;1000;1000;909;1000;1000
pc;hdd1;read;4096;0;5;26;2000;1000;3000;1000;2000;1000;2000;1000
pc;hdd1;read;4096;0;5;27;1000;1000;1000;823;800;1000;802;1000
pc;hdd1;read;4096;0;5;28;1000;1000;1000;961;1000;3000;2000;2000
pc;hdd1;read;4096;0;5;29;900;1000;918;815;812;2000;1000;2000
pc;hdd1;read;4096;0;5;30;2000;1000;1000;1000;1000;2000;3000;1000
pc;hdd1;read;4096;0;5;31;2000;1000;985;800;1000;803;1000;1000
pc;hdd1;read;4096;0;5;32;1000;1000;2000;2000;2000;1000;2000;2000
pc;hdd1;read;4096;0;5;33;3000;1000;1000;1000;1000;2000;1000;2000
pc;hdd1;read;4096;0;5;34;3000;3000;2000;3000;2000;3000;3000;3000
pc;hdd1;read;4096;0;5;35;2000;1000;1000;1000;1000;1000;1000;1000
pc;hdd1;read;4096;0;5;36;2000;2000;3000;3000;2000;3000;3000;3000
pc;hdd1;read;4096;0;5;37;1000;1000;2000;1000;896;1000;1000;1000
pc;hdd1;read;4096;0;5;38;1000;1000;2000;1000;3000;1000;2000;1000
pc;hdd1;read;4096;0;5;39;1000;978;877;924;996;943;839;1000
pc;hdd1;read;4096;0;5;40;2000;2000;2000;3000;2000;2000;2000;2000
pc;hdd1;read;4096;0;5;41;3000;3000;3000;2000;2000;3000;3000;3000
pc;hdd1;read;4096;0;5;42;3000;955;3000;1000;1000;2000;807;1000
pc;hdd1;read;4096;0;5;43;1000;854;820;1000;896;1000;910;1000
pc;hdd1;read;4096;0;5;44;2000;2000;2000;3000;1000;2000;2000;2000
pc;hdd1;read;4096;0;5;45;2000;2000;1000;2000;2000;2000;1000;2000
pc;hdd1;read;4096;0;5;46;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;4096;0;5;47;3000;2000;2000;3000;2000;2000;2000;2000
pc;hdd1;read;4096;0;5;48;1000;2000;1000;2000;1000;1000;1000;2000
pc;hdd1;read;4096;0;5;49;3000;2000;2000;1000;1000;1000;1000;2000
pc;hdd1;read;4096;0;5;50;1000;1000;1000;2000;2000;3000;2000;3000
pc;hdd1;read;4096;0;5;51;3000;3000;2000;3000;3000;2000;2000;3000
pc;hdd1;read;4096;0;5;52;3000;2000;1000;1000;1000;3000;1000;1000
pc;hdd1;read;4096;0;5;53;800;1000;2000;844;1000;862;1000;877
pc;hdd1;read;4096;0;5;54;2000;1000;1000;3000;3000;2000;1000;2000
pc;hdd1;read;4096;0;5;55;1000;1000;1000;1000;1000;1000;1000;1000
pc;hdd1;read;4096;0;5;56;1000;1000;994;1000;1000;1000;949;1000
pc;hdd1;read;4096;0;5;57;1000;1000;1000;3000;3000;2000;3000;2000
pc;hdd1;read;4096;0;5;58;2000;2000;3000;3000;3000;3000;2000;3000
pc;hdd1;read;4096;0;5;59;1000;1000;1000;1000;998;2000;3000;3000
pc;hdd1;read;4096;0;5;60;1000;1000;1000;2000;2000;950;1000;1000
pc;hdd1;write;32;0;6;0;3000;3000;3000;3000;3000;3000;3000;2000
pc;hdd1;write;32;0;6;1;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;2;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;3;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;4;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;5;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;6;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;7;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;8;3000;2000;2000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;9;3000;3000;3000;3000;3000;3000;3000;2000
pc;hdd1;write;32;0;6;10;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;11;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;12;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;13;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;14;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;15;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;16;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;17;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;18;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;19;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;20;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;21;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;22;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;23;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;24;1000;3000;3000;3000;3000;3000;1000;3000
pc;hdd1;write;32;0;6;25;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;26;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;27;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;28;3000;2000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;29;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;30;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;31;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;32;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;33;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;34;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;35;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;36;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;37;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;38;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;39;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;40;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;41;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;42;3000;3000;2000;2000;2000;3000;2000;3000
pc;hdd1;write;32;0;6;43;3000;2000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;44;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;45;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;46;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;47;3000;2000;3000;3000;3000;2000;3000;3000
pc;hdd1;write;32;0;6;48;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;49;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;50;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;51;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;52;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;53;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;54;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;55;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;56;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;57;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;58;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;32;0;6;59;2000;2000;2000;2000;998;831;3000;3000
pc;hdd1;write;32;0;6;60;1000;1000;2000;900;820;907;1000;898
pc;hdd1;read;32;0;6;0;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;1;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;2;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;3;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;4;3000;3000;3000;2000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;5;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;6;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;7;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;8;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;9;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;10;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;11;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;12;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;13;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;14;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;15;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;16;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;17;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;18;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;19;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;20;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;21;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;22;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;23;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;24;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;25;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;26;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;27;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;28;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;29;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;30;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;31;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;32;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;33;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;34;1000;1000;1000;3000;1000;3000;1000;3000
pc;hdd1;read;32;0;6;35;3000;3000;1000;3000;3000;2000;3000;3000
pc;hdd1;read;32;0;6;36;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;37;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;38;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;39;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;40;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;41;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;42;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;43;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;44;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;45;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;46;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;47;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;48;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;49;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;50;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;51;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;52;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;53;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;54;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;55;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;56;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;57;3000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;read;32;0;6;58;4000;3000;3000;4000;4000;3000;3000;3000
pc;hdd1;read;32;0;6;59;1000;2000;3000;2000;1000;1000;2000;3000
pc;hdd1;read;32;0;6;60;2000;2000;1000;2000;809;2000;2000;2000
pc;hdd1;read;32;0;6;61;1000;1000;1000;956;1000;2000;828;2000
pc;hdd1;write;4096;0;4;0;3000;1000;1000;2000;1000;3000;1000;2000
pc;hdd1;write;4096;0;4;1;3000;3000;2000;2000;2000;2000;3000;2000
pc;hdd1;write;4096;0;4;2;1000;985;3000;2000;896;2000;927;1000
pc;hdd1;write;4096;0;4;3;1000;943;1000;2000;1000;1000;1000;2000
pc;hdd1;write;4096;0;4;4;3000;1000;3000;1000;3000;1000;2000;2000
pc;hdd1;write;4096;0;4;5;3000;3000;3000;2000;3000;2000;3000;2000
pc;hdd1;write;4096;0;4;6;1000;1000;1000;1000;2000;2000;975;2000
pc;hdd1;write;4096;0;4;7;3000;2000;2000;3000;3000;1000;3000;1000
pc;hdd1;write;4096;0;4;8;3000;2000;3000;3000;3000;1000;3000;1000
pc;hdd1;write;4096;0;4;9;1000;800;1000;1000;910;2000;842;1000
pc;hdd1;write;4096;0;4;10;1000;1000;1000;1000;1000;1000;1000;1000
pc;hdd1;write;4096;0;4;11;3000;2000;1000;1000;3000;1000;1000;1000
pc;hdd1;write;4096;0;4;12;3000;1000;838;3000;3000;3000;1000;1000
