equipment;device;operation;reqsize;cache;repetition;measurement;rms1;rms2
PC;SSD2;write;32;0;1;102;220.1;0.1917
PC;SSD2;write;32;0;1;103;220.4;0.2458
PC;SSD2;write;32;0;1;104;220.2;0.2497
PC;SSD2;write;32;0;1;105;220.1;0.2314
PC;SSD2;write;32;0;1;106;220.6;0.1905
PC;SSD2;write;32;0;1;107;220.6;0.1853
PC;SSD2;write;32;0;1;108;220.7;0.1899
PC;SSD2;write;32;0;1;109;220.2;0.2527
PC;SSD2;write;32;0;1;110;220.5;0.2443
PC;SSD2;write;32;0;1;111;220.4;0.2463
PC;SSD2;write;32;0;1;112;220.4;0.1843
PC;SSD2;write;32;0;1;113;220.5;0.189
PC;SSD2;write;32;0;1;114;220.3;0.1899
PC;SSD2;write;32;0;1;115;220.2;0.1919
PC;SSD2;write;32;0;1;116;220.2;0.2444
PC;SSD2;write;32;0;1;117;220.4;0.2563
PC;SSD2;write;32;0;1;118;220.7;0.1911
PC;SSD2;write;32;0;1;119;220.3;0.1836
PC;SSD2;write;32;0;1;120;220.7;0.1887
PC;SSD2;write;32;0;1;121;220.5;0.1832
PC;SSD2;read;32;0;1;0;220.3;0.174
PC;SSD2;read;32;0;1;1;220.2;0.1762
PC;SSD2;read;32;0;1;2;220.3;0.1751
PC;SSD2;read;32;0;1;3;220.5;0.171
PC;SSD2;read;32;0;1;4;220.2;0.274
PC;SSD2;read;32;0;1;5;220.4;0.226
PC;SSD2;read;32;0;1;6;220.3;0.2426
PC;SSD2;read;32;0;1;7;220.4;0.246
PC;SSD2;read;32;0;1;8;220.1;0.2267
PC;SSD2;read;32;0;1;9;220.1;0.2258
PC;SSD2;read;32;0;1;10;220.2;0.2259
PC;SSD2;read;32;0;1;11;220.1;0.2247
PC;SSD2;read;32;0;1;12;220.2;0.226
PC;SSD2;read;32;0;1;13;220.4;0.2326
PC;SSD2;read;32;0;1;14;220.1;0.227
PC;SSD2;read;32;0;1;15;220.2;0.2258
PC;SSD2;read;32;0;1;16;220.4;0.226
PC;SSD2;read;32;0;1;17;220.3;0.2263
PC;SSD2;read;32;0;1;18;220.5;0.228
PC;SSD2;read;32;0;1;19;220.3;0.2234
PC;SSD2;read;32;0;1;20;220.5;0.2256
PC;SSD2;read;32;0;1;21;220.3;0.2243
PC;SSD2;read;32;0;1;22;220.4;0.2271
PC;SSD2;read;32;0;1;23;220.4;0.224
PC;SSD2;read;32;0;1;24;220.5;0.2256
PC;SSD2;read;32;0;1;25;220.5;0.2257
PC;SSD2;read;32;0;1;26;220.2;0.225
PC;SSD2;read;32;0;1;27;220.3;0.2271
PC;SSD2;read;32;0;1;28;220.6;0.201
PC;SSD2;read;32;0;1;29;220.2;0.2262
PC;SSD2;read;32;0;1;30;220.1;0.2274
PC;SSD2;read;32;0;1;31;220.1;0.2274
PC;SSD2;read;32;0;1;32;220.5;0.2004
PC;SSD2;read;32;0;1;33;220.4;0.2274
PC;SSD2;read;32;0;1;34;220.3;0.2015
PC;SSD2;read;32;0;1;35;220.5;0.2268
PC;SSD2;read;32;0;1;36;220.2;0.2273
PC;SSD2;read;32;0;1;37;220.2;0.2268
PC;SSD2;read;32;0;1;38;220.5;0.2266
PC;SSD2;read;32;0;1;39;220.8;0.209
PC;SSD2;read;32;0;1;40;220.3;0.2252
PC;SSD2;read;32;0;1;41;220.0;0.2222
PC;SSD2;read;32;0;1;42;220.2;0.203
PC;SSD2;read;32;0;1;43;220.4;0.225
PC;SSD2;read;32;0;1;44;220.1;0.2259
PC;SSD2;read;32;0;1;45;220.2;0.2265
PC;SSD2;read;32;0;1;46;220.3;0.2005
PC;SSD2;read;32;0;1;47;220.1;0.2262
PC;SSD2;read;32;0;1;48;220.0;0.2269
PC;SSD2;read;32;0;1;49;220.1;0.2259
PC;SSD2;read;32;0;1;50;220.2;0.2265
PC;SSD2;read;32;0;1;51;220.5;0.2251
PC;SSD2;read;32;0;1;52;220.2;0.2011
PC;SSD2;read;32;0;1;53;220.5;0.225
PC;SSD2;read;32;0;1;54;220.1;0.231
PC;SSD2;read;32;0;1;55;220.2;0.2265
PC;SSD2;read;32;0;1;56;220.3;0.2083
PC;SSD2;read;32;0;1;57;220.2;0.2247
PC;SSD2;read;32;0;1;58;220.0;0.2264
PC;SSD2;read;32;0;1;59;220.1;0.2268
PC;SSD2;read;32;0;1;60;220.5;0.2256
PC;SSD2;read;32;0;1;61;220.3;0.2245
PC;SSD2;read;32;0;1;62;219.8;0.2265
PC;SSD2;read;32;0;1;63;220.4;0.2263
PC;SSD2;read;32;0;1;64;220.1;0.2097
PC;SSD2;read;32;0;1;65;220.3;0.226
PC;SSD2;read;32;0;1;66;220.2;0.227
PC;SSD2;read;32;0;1;67;220.3;0.2266
PC;SSD2;read;32;0;1;68;220.2;0.2273
PC;SSD2;read;32;0;1;69;220.3;0.2266
PC;SSD2;read;32;0;1;70;220.0;0.2257
PC;SSD2;read;32;0;1;71;220.2;0.2278
PC;SSD2;read;32;0;1;72;220.4;0.2205
PC;SSD2;read;32;0;1;73;220.2;0.2259
PC;SSD2;write;4096;0;8;0;219.9;0.1756
PC;SSD2;write;4096;0;8;1;220.3;0.1734
PC;SSD2;write;4096;0;8;2;219.9;0.1863
PC;SSD2;write;4096;0;8;3;220.2;0.1892
PC;SSD2;write;4096;0;8;4;220.0;0.1912
PC;SSD2;write;4096;0;8;5;220.0;0.1904
PC;SSD2;write;4096;0;8;6;220.2;0.192
PC;SSD2;write;4096;0;8;7;220.0;0.1964
PC;SSD2;write;4096;0;8;8;220.1;0.1948
PC;SSD2;write;4096;0;8;9;219.9;0.1834
PC;SSD2;write;4096;0;8;10;220.1;0.184
PC;SSD2;write;4096;0;8;11;220.1;0.1844
PC;SSD2;write;4096;0;8;12;220.1;0.1872
PC;SSD2;write;4096;0;8;13;220.1;0.1843
PC;SSD2;write;4096;0;8;14;219.9;0.1941
PC;SSD2;write;4096;0;8;15;219.9;0.1938
PC;SSD2;write;4096;0;8;16;220.2;0.1868
PC;SSD2;write;4096;0;8;17;220.1;0.1937
PC;SSD2;write;4096;0;8;18;219.8;0.1955
PC;SSD2;write;4096;0;8;19;219.6;0.1996
PC;SSD2;write;4096;0;8;20;220.0;0.1966
PC;SSD2;write;4096;0;8;21;219.9;0.1973
PC;SSD2;write;4096;0;8;22;220.1;0.1967
PC;SSD2;write;4096;0;8;23;220.3;0.194
PC;SSD2;write;4096;0;8;24;220.1;0.1962
PC;SSD2;write;4096;0;8;25;219.8;0.1958
PC;SSD2;write;4096;0;8;26;219.8;0.1963
PC;SSD2;write;4096;0;8;27;220.5;0.1856
PC;SSD2;write;4096;0;8;28;220.0;0.1974
PC;SSD2;write;4096;0;8;29;220.0;0.1966
PC;SSD2;write;4096;0;8;30;220.3;0.1965
PC;SSD2;write;4096;0;8;31;220.4;0.1976
PC;SSD2;write;4096;0;8;32;220.2;0.1853
PC;SSD2;write;4096;0;8;33;220.3;0.1983
PC;SSD2;write;4096;0;8;34;220.2;0.1975
PC;SSD2;write;4096;0;8;35;220.1;0.1982
PC;SSD2;write;4096;0;8;36;220.4;0.1969
PC;SSD2;write;4096;0;8;37;220.1;0.1954
PC;SSD2;write;4096;0;8;38;220.2;0.1963
PC;SSD2;write;4096;0;8;39;220.1;0.1985
PC;SSD2;write;4096;0;8;40;220.2;0.1966
PC;SSD2;write;4096;0;8;41;220.3;0.1989
PC;SSD2;write;4096;0;8;42;220.3;0.1991
PC;SSD2;write;4096;0;8;43;220.5;0.1973
PC;SSD2;write;4096;0;8;44;220.0;0.1953
PC;SSD2;write;4096;0;8;45;220.3;0.1862
PC;SSD2;write;4096;0;8;46;220.3;0.1959
PC;SSD2;write;4096;0;8;47;220.0;0.1957
PC;SSD2;write;4096;0;8;48;219.8;0.1975
PC;SSD2;write;4096;0;8;49;219.9;0.1964
PC;SSD2;write;4096;0;8;50;220.0;0.1841
PC;SSD2;write;4096;0;8;51;219.8;0.1982
PC;SSD2;write;4096;0;8;52;220.0;0.1966
PC;SSD2;write;4096;0;8;53;221.7;0.1961
PC;SSD2;write;4096;0;8;54;221.8;0.196
PC;SSD2;write;4096;0;8;55;221.5;0.1968
PC;SSD2;write;4096;0;8;56;221.5;0.2654
PC;SSD2;write;4096;0;8;57;221.5;0.1927
PC;SSD2;write;4096;0;8;58;221.6;0.195
PC;SSD2;write;4096;0;8;59;221.6;0.1948
PC;SSD2;write;4096;0;8;60;221.7;0.1966
PC;SSD2;write;4096;0;8;61;221.8;0.1949
PC;SSD2;write;4096;0;8;62;221.9;0.195
PC;SSD2;write;4096;0;8;63;221.9;0.1852
PC;SSD2;write;4096;0;8;64;221.5;0.1952
PC;SSD2;write;4096;0;8;65;221.7;0.1955
PC;SSD2;write;4096;0;8;66;221.7;0.1966
PC;SSD2;write;4096;0;8;67;221.8;0.1954
PC;SSD2;write;4096;0;8;68;221.9;0.1955
PC;SSD2;write;4096;0;8;69;221.8;0.1966
PC;SSD2;write;4096;0;8;70;221.8;0.1845
PC;SSD2;write;4096;0;8;71;221.9;0.1966
PC;SSD2;write;4096;0;8;72;221.6;0.1875
PC;SSD2;write;4096;0;8;73;221.9;0.195
PC;SSD2;write;4096;0;8;74;221.5;0.1944
PC;SSD2;write;4096;0;8;75;222.0;0.1992
PC;SSD2;write;4096;0;8;76;222.1;0.1956
